"","waves","abs"
"1",190,4.74666666666667
"2",190.5,4.94966666666667
"3",191,5.13266666666667
"4",191.5,5.32233333333333
"5",192,5.47766666666667
"6",192.5,5.62566666666667
"7",193,5.71366666666667
"8",193.5,5.769
"9",194,5.835
"10",194.5,5.90566666666667
"11",195,6.03933333333333
"12",195.5,6.13266666666667
"13",196,6.275
"14",196.5,6.342
"15",197,6.40366666666667
"16",197.5,6.40666666666667
"17",198,6.398
"18",198.5,6.32366666666667
"19",199,6.328
"20",199.5,6.37233333333333
"21",200,6.464
"22",200.5,6.543
"23",201,6.72266666666667
"24",201.5,6.85866666666667
"25",202,7.04166666666667
"26",202.5,7.21666666666667
"27",203,7.45566666666667
"28",203.5,7.71033333333333
"29",204,7.88233333333333
"30",204.5,8.17333333333333
"31",205,8.42766666666667
"32",205.5,8.592
"33",206,8.71566666666667
"34",206.5,8.828
"35",207,8.884
"36",207.5,8.85866666666667
"37",208,8.90833333333333
"38",208.5,8.924
"39",209,8.86633333333333
"40",209.5,8.961
"41",210,8.97666666666667
"42",210.5,8.91333333333333
"43",211,8.86166666666667
"44",211.5,8.93066666666667
"45",212,8.98166666666667
"46",212.5,9.00266666666667
"47",213,9.15366666666667
"48",213.5,9.22933333333333
"49",214,9.30033333333333
"50",214.5,9.46133333333333
"51",215,9.672
"52",215.5,9.845
"53",216,10.028
"54",216.5,10.3053333333333
"55",217,10.5126666666667
"56",217.5,10.6963333333333
"57",218,10.9056666666667
"58",218.5,11.0916666666667
"59",219,11.3906666666667
"60",219.5,11.825
"61",220,12.3423333333333
"62",220.5,12.8873333333333
"63",221,13.4
"64",221.5,13.9303333333333
"65",222,14.3883333333333
"66",222.5,14.7673333333333
"67",223,15.1136666666667
"68",223.5,15.4473333333333
"69",224,15.8023333333333
"70",224.5,16.205
"71",225,16.6516666666667
"72",225.5,17.1663333333333
"73",226,17.8673333333333
"74",226.5,18.7896666666667
"75",227,19.8306666666667
"76",227.5,20.826
"77",228,21.5443333333333
"78",228.5,22.1123333333333
"79",229,22.4123333333333
"80",229.5,22.5576666666667
"81",230,22.5823333333333
"82",230.5,22.405
"83",231,22.2093333333333
"84",231.5,21.9566666666667
"85",232,21.659
"86",232.5,21.2993333333333
"87",233,20.879
"88",233.5,20.606
"89",234,20.23
"90",234.5,20.2166666666667
"91",235,20.2253333333333
"92",235.5,20.268
"93",236,20.1453333333333
"94",236.5,20.067
"95",237,19.996
"96",237.5,19.9743333333333
"97",238,19.8833333333333
"98",238.5,19.8096666666667
"99",239,19.66
"100",239.5,19.7003333333333
"101",240,19.7886666666667
"102",240.5,19.9346666666667
"103",241,20.082
"104",241.5,20.305
"105",242,20.473
"106",242.5,20.5396666666667
"107",243,20.5456666666667
"108",243.5,20.485
"109",244,20.2613333333333
"110",244.5,20.0386666666667
"111",245,19.9186666666667
"112",245.5,19.852
"113",246,19.8656666666667
"114",246.5,19.9766666666667
"115",247,20.085
"116",247.5,20.1766666666667
"117",248,20.2383333333333
"118",248.5,20.1596666666667
"119",249,19.8843333333333
"120",249.5,19.5623333333333
"121",250,19.261
"122",250.5,18.989
"123",251,18.695
"124",251.5,18.537
"125",252,18.4236666666667
"126",252.5,18.3603333333333
"127",253,18.2646666666667
"128",253.5,18.1776666666667
"129",254,18.019
"130",254.5,17.8783333333333
"131",255,17.7303333333333
"132",255.5,17.6313333333333
"133",256,17.4953333333333
"134",256.5,17.4783333333333
"135",257,17.4943333333333
"136",257.5,17.5636666666667
"137",258,17.7123333333333
"138",258.5,18.0003333333333
"139",259,18.305
"140",259.5,18.6053333333333
"141",260,18.8563333333333
"142",260.5,18.9733333333333
"143",261,18.9376666666667
"144",261.5,18.7853333333333
"145",262,18.4933333333333
"146",262.5,18.119
"147",263,17.7756666666667
"148",263.5,17.456
"149",264,17.1856666666667
"150",264.5,16.957
"151",265,16.812
"152",265.5,16.707
"153",266,16.666
"154",266.5,16.667
"155",267,16.666
"156",267.5,16.667
"157",268,16.648
"158",268.5,16.5653333333333
"159",269,16.4513333333333
"160",269.5,16.303
"161",270,16.2216666666667
"162",270.5,16.1993333333333
"163",271,16.1963333333333
"164",271.5,16.2283333333333
"165",272,16.2516666666667
"166",272.5,16.2763333333333
"167",273,16.2203333333333
"168",273.5,16.1143333333333
"169",274,15.9056666666667
"170",274.5,15.7116666666667
"171",275,15.5643333333333
"172",275.5,15.4733333333333
"173",276,15.4086666666667
"174",276.5,15.395
"175",277,15.4023333333333
"176",277.5,15.4286666666667
"177",278,15.4306666666667
"178",278.5,15.3953333333333
"179",279,15.329
"180",279.5,15.3053333333333
"181",280,15.2876666666667
"182",280.5,15.3173333333333
"183",281,15.4033333333333
"184",281.5,15.53
"185",282,15.6303333333333
"186",282.5,15.696
